id,instructives_id,studies_id
1,1,54
2,1,56
3,1,67
4,2,75
5,3,79
6,3,83
7,3,85
8,4,80
9,4,81
10,4,82
11,5,73
12,5,74
13,5,77
14,5,91
15,6,84
16,7,89
17,13,281
18,13,283
19,13,285
20,13,287
21,13,168
22,12,282
23,12,284
24,12,286
25,12,288
26,12,169
27,14,182
28,15,69
29,16,193
30,16,274
31,16,192
32,17,213
33,17,211
34,17,212
35,18,205
36,18,201
37,18,202
38,18,204
39,18,203
40,18,207
41,18,206
42,18,215
43,18,214
44,18,199
45,18,200
46,19,177
47,20,165
48,21,183
49,23,170
50,23,179
51,23,210
52,22,198
53,24,188
54,25,186
55,25,187
56,25,189
57,25,190
58,25,172
59,25,173
60,25,174
61,25,191
62,25,194
63,25,195
64,25,196
65,25,216
66,25,175
67,25,176
68,25,178
69,25,180
70,25,181
71,25,184
72,25,185
73,25,204
74,25,275
78,26,275
79,27,275
80,8,244
81,9,266
82,10,141
83,10,143
84,15,129
85,15,130
86,15,131
87,15,132
88,15,135
89,15,133
90,15,134
91,15,146
92,15,138
93,15,139
94,15,136
95,15,137
96,15,140
97,15,264
98,15,265
99,15,142
100,15,144
101,15,147
102,15,267
103,15,268
104,15,149
105,15,271
106,15,150
107,15,151
108,15,152
109,15,153
110,15,154
111,15,155
112,15,156
113,15,157
114,15,158
115,15,159
116,15,160
